network,station,latitude,longitude,elevation_m,start_date,end_date,duration_years
XQ,NC05,35.5336,-79.201401,98.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC09,35.4505,-79.281898,121.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC02,35.562099,-79.468597,147.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC01,35.622101,-79.200996,107.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC12,35.384701,-79.2435,136.0,2012-03-27,2014-12-31,2.7652292633153346
XQ,NC08,35.4678,-79.313103,106.0,2012-03-27,2014-12-31,2.7652292633153346
TA,P60A,39.811298,-75.635803,105.0,2013-04-28,2016-02-01,2.7642653433721196
TA,R58B,37.9636,-77.8787,116.0,2012-08-02,2015-04-28,2.736745886886202
XQ,NC06,35.5256,-79.016899,84.0,2012-04-07,2014-12-31,2.7351129046568814
TA,M51A,41.3321,-82.183098,239.0,2012-08-29,2015-05-15,2.7092079245570004
SP,EDGE,33.807301,-81.862999,217.0,2001-10-22,2004-06-30,2.688455395847593
TA,Q61A,38.879902,-75.3256,5.0,2013-05-28,2016-02-01,2.6821298197581567
6E,WB45,37.723099,-86.522598,176.0,2014-05-08,2016-12-31,2.6529773810429185
6E,WB42,37.897499,-86.824799,147.0,2014-05-09,2016-12-31,2.6502395302557864
6E,WB44,37.798599,-86.614098,221.0,2014-05-09,2016-12-31,2.6502395302557864
6E,WB37,38.120098,-87.286201,149.0,2014-05-11,2016-12-31,2.644763828681522
6E,WB38,38.069302,-87.209801,128.0,2014-05-11,2016-12-31,2.644763828681522
6E,WB33,38.216,-87.522301,140.0,2014-05-12,2016-12-31,2.6420259778943898
6E,WB34,38.187801,-87.459702,138.0,2014-05-12,2016-12-31,2.6420259778943898
6E,WB26,38.377602,-87.855103,129.0,2014-05-13,2016-12-31,2.6392881271072577
6E,WB32,38.237999,-87.564903,159.0,2014-05-13,2016-12-31,2.6392881271072577
6E,WB28,38.3466,-87.732903,123.0,2014-05-14,2016-12-31,2.6365502763201256
6E,WB30,38.279301,-87.658897,143.0,2014-05-14,2016-12-31,2.6365502763201256
6E,WB29,38.315102,-87.714203,127.0,2014-05-15,2016-12-31,2.6338124255329936
SP,CLINT,34.481098,-81.862801,199.0,2001-11-13,2004-06-30,2.628222678530687
LD,FMPA,40.0478,-76.3208,121.0,2005-02-22,2007-10-02,2.60619042639491
TA,S44A,37.6936,-89.255096,155.0,2011-05-20,2013-12-16,2.5780914898471368
Z9,W31,33.972198,-83.738503,292.0,2011-10-21,2014-05-19,2.576287170127006
Z9,D13,34.2943,-83.166199,200.0,2011-10-22,2014-05-19,2.574399193855046
SP,CLOVE,35.096909,-81.184212,227.0,2002-01-15,2004-06-30,2.4557380789413643
6E,WB11,38.716999,-88.609901,132.0,2013-05-31,2015-11-12,2.453114273582275
6E,WB15,38.627998,-88.409599,102.0,2013-06-06,2015-11-12,2.4366871688594824
SP,BLACK,33.363998,-81.263451,94.0,2002-02-15,2004-06-30,2.3708647045402693
TA,P51A,39.4818,-83.060097,211.0,2012-07-23,2014-12-01,2.3592021890131063
SP,ACFLR,34.016529,-80.982887,91.4,2001-09-17,2004-01-24,2.353517377747357
TA,L53A,41.953899,-80.259804,355.0,2013-01-16,2015-05-15,2.3267834055821734
TA,R54A,38.190899,-80.990402,512.0,2013-01-12,2015-04-27,2.2880827439349
SP,ANDY,33.460739,-79.571518,49.0,2002-03-18,2004-06-30,2.285991330139174
TA,O52A,40.115799,-81.836098,331.0,2012-08-25,2014-12-01,2.2688531130377467
TA,Q52A,38.9622,-82.266899,228.0,2012-08-26,2014-12-01,2.2661152622506147
TA,O51A,40.146999,-82.605598,380.0,2012-08-24,2014-11-27,2.2605806525211043
TA,P53A,39.486801,-81.389603,270.0,2012-08-27,2014-11-24,2.2442495627043884
TA,P43A,39.6409,-89.521301,176.0,2011-08-16,2013-11-08,2.233955021928157
6E,WB46,38.410999,-87.752899,129.0,2014-10-24,2016-12-31,2.1902805980175932
TA,N51A,40.918301,-82.374802,343.0,2012-08-28,2014-11-03,2.1842958590006845
TA,Q53A,38.858601,-81.525101,310.0,2013-02-27,2015-04-29,2.1673986614951706
TA,P46A,39.617802,-87.206703,194.0,2011-10-22,2013-12-20,2.1650251603417243
TA,Y52A,33.863998,-84.062599,286.0,2012-04-08,2014-05-25,2.129052811367151
TA,U54A,36.520901,-81.820396,837.0,2013-02-28,2015-04-13,2.121033918929196
TA,L58A,42.044701,-75.850197,447.0,2013-07-03,2015-08-08,2.0991140010647196
TA,S57A,37.760502,-78.953598,264.0,2013-03-28,2015-04-28,2.0851373995487616
TA,T56A,37.028801,-80.031097,387.0,2013-03-16,2015-04-12,2.074131112632139
TA,S56A,37.677101,-79.5662,449.0,2013-04-03,2015-04-30,2.074112099779451
TA,T58A,36.9454,-78.533798,167.0,2013-03-18,2015-04-13,2.0716879610616776
TA,O44A,40.152599,-88.467102,213.0,2011-10-15,2013-11-08,2.0696839747002307
TA,X60A,34.577301,-77.976799,12.0,2013-03-10,2015-04-04,2.068864552437448
TA,W56A,35.134998,-80.582802,177.0,2013-03-08,2015-04-02,2.068864552437448
TA,O59A,40.311401,-76.185898,334.0,2013-04-28,2015-05-21,2.063407863715872
6E,WB23,38.448399,-88.0047,123.0,2013-10-22,2015-11-12,2.058863760235252
TA,V59A,35.7649,-78.239403,58.0,2013-03-12,2015-04-01,2.055527036276523
TA,M44A,41.388199,-88.043198,207.0,2011-10-21,2013-11-08,2.0532568699774383
Z9,W315,34.177898,-83.853104,334.6,2012-05-02,2014-05-20,2.0476138869876035
TA,X59A,34.571999,-78.602303,29.0,2013-02-10,2015-02-27,2.04709483610921
TA,X57A,34.464298,-80.094002,133.0,2013-02-09,2015-02-25,2.044328466043045
TA,L42A,42.004002,-89.667,257.0,2011-11-05,2013-11-19,2.04243665551246
TA,P59A,39.6101,-76.432701,157.0,2013-04-27,2015-05-12,2.0415145638451593
Z9,D06,33.859001,-82.630402,152.2,2012-05-04,2014-05-19,2.039598068294167
Z9,D03,33.659401,-82.388397,129.5,2012-05-04,2014-05-17,2.034631911171952
Z9,D07,33.937599,-82.686401,140.2,2012-05-04,2014-05-17,2.0340520191649554
Z9,E31,32.986599,-82.107002,77.6,2012-05-05,2014-05-17,2.0312913529545975
Z9,E30,32.695801,-82.1091,98.4,2012-05-05,2014-05-17,2.0312666362461025
Z9,E28,32.335899,-82.096703,68.3,2012-05-05,2014-05-17,2.0309681344588943
TA,S59A,37.762001,-77.294197,40.0,2013-04-12,2015-04-23,2.03033500646437
TA,U58A,36.394402,-78.549301,169.0,2013-03-21,2015-04-01,2.0303255000380256
Z9,E27,32.236198,-82.1091,76.9,2012-05-06,2014-05-17,2.0289318579359645
Z9,E26,32.0979,-82.099098,66.1,2012-05-06,2014-05-17,2.0287398281238116
TA,V56A,35.8097,-80.4963,237.0,2013-03-24,2015-04-03,2.028196060536923
TA,Q57A,39.035301,-78.410698,324.0,2013-04-25,2015-05-05,2.0276637006616474
Z9,D20,35.074001,-83.980301,478.3,2012-05-10,2014-05-19,2.025745303825386
Z9,D22,35.462898,-84.458801,272.3,2012-05-09,2014-05-19,2.025528557304738
Z9,E29,32.490799,-82.103203,79.4,2012-05-07,2014-05-17,2.025252870940756
Z9,D19,34.872101,-83.733803,665.0,2012-05-10,2014-05-20,2.024927751159784
Z9,D21,35.199699,-84.136902,526.4,2012-05-10,2014-05-19,2.0237337440109515
Z9,D18,34.7342,-83.612099,486.8,2012-05-11,2014-05-20,2.023458057646969
TA,S60A,37.705502,-76.653503,36.0,2013-04-15,2015-04-23,2.022691839683626
TA,Z59A,33.241402,-79.278,8.0,2013-02-23,2015-03-03,2.0226157882728724
XO,LG19,37.595699,-89.045898,206.8,2011-07-18,2013-07-24,2.018024152660532
6E,WB21,38.4907,-88.109001,132.0,2014-04-26,2016-05-01,2.0177959984282707
TA,V48A,35.740002,-86.821899,278.0,2011-12-11,2013-12-16,2.016832046796968
TA,R59A,38.2005,-77.116402,35.0,2013-04-16,2015-04-21,2.0146494029964255
TA,S45A,37.677399,-88.580399,122.0,2011-05-19,2013-05-22,2.0114647501711156
TA,R60A,38.268398,-76.580704,33.0,2013-04-18,2015-04-22,2.0110939995436916
Z9,D04,33.730099,-82.451797,127.6,2012-05-15,2014-05-19,2.0088333713590387
TA,X48A,34.451698,-87.045197,180.0,2011-12-14,2013-12-16,2.0086192232615914
XO,LG21,37.669102,-88.794098,145.0,2011-07-21,2013-07-23,2.0079853664410474
TA,R57A,38.297001,-78.523201,230.0,2013-04-25,2015-04-27,2.0063122670925546
TA,X53A,34.503101,-83.3013,240.0,2012-04-11,2014-04-13,2.005874971480721
7A,NAZF,39.380199,-80.639801,0.0,2014-10-23,2016-10-24,2.004848245747459
TA,T57A,36.998299,-79.253799,230.0,2013-03-17,2015-03-18,2.00328481887089
7A,MUSK,39.997601,-81.736801,0.0,2014-10-24,2016-10-24,2.002414600603341
7A,PETO,39.160198,-80.329498,0.0,2014-10-24,2016-10-24,2.0023385491925874
7A,CDRF,39.455502,-81.052399,282.0,2014-10-24,2016-10-24,2.0018822407280656
7A,PVGR,39.571499,-81.382103,0.0,2014-10-24,2016-10-24,2.0017111250538697
7A,AZZI,40.366402,-82.919098,294.0,2014-10-25,2016-10-24,2.0013688937054783
7A,SUSI,40.4291,-83.181801,0.0,2014-10-25,2016-10-24,1.9994676084366365
TA,Y49A,33.8577,-86.411903,362.0,2011-12-18,2013-12-16,1.997667820113063
TA,V60A,35.764999,-77.262901,8.0,2013-04-06,2015-04-05,1.9976233934139478
TA,R58A,38.298901,-78.003403,184.0,2013-04-17,2015-04-15,1.9950471518746673
TA,N57A,40.7556,-77.550903,306.0,2013-05-13,2015-05-10,1.9922151874667275
6E,WB24,38.423698,-87.981102,125.0,2014-05-08,2016-05-01,1.9849417889826857
TA,M56A,41.4837,-78.182602,493.0,2013-05-20,2015-05-14,1.9840292037417293
TA,U60A,36.471802,-77.159599,8.0,2013-04-23,2015-04-17,1.9839531523309757
TA,U61A,36.331902,-76.446404,4.0,2013-04-24,2015-04-18,1.983877100920222
TA,V62A,35.561199,-75.957001,-3.0,2013-04-25,2015-04-19,1.9837154916723705
6E,WB20,38.5187,-88.186203,123.0,2014-05-12,2016-05-01,1.9739903858341572
6E,WB17,38.580399,-88.3116,144.0,2014-05-12,2016-05-01,1.9739903858341572
TA,U56A,36.347198,-80.382896,363.0,2013-04-24,2015-04-13,1.970402628843765
TA,N56A,40.917099,-78.295303,561.0,2013-05-21,2015-05-10,1.9701498212791848
6E,WB22,38.4687,-88.058403,145.0,2014-05-15,2016-05-01,1.965776833472761
TA,X58A,34.554798,-79.338799,45.0,2013-02-08,2015-01-26,1.9646661659948792
TA,O50A,40.146801,-83.619904,399.0,2012-06-15,2014-06-02,1.96456004258879
TA,N60A,40.870399,-75.099998,189.0,2013-06-12,2015-05-28,1.9593410145258194
TA,W59A,35.167301,-78.443001,60.0,2013-03-09,2015-02-21,1.9570499657768652
TA,P57A,39.483501,-78.012604,191.0,2013-05-21,2015-05-05,1.9570099754100438
TA,X56A,34.492298,-81.031898,112.0,2013-02-04,2015-01-19,1.9566887215757853
TA,W60A,35.052799,-77.713303,30.0,2013-03-09,2015-02-20,1.953903338656932
TA,N50A,40.771099,-83.148598,277.0,2012-06-20,2014-06-02,1.9514601870864705
TA,P50A,39.608601,-83.798798,318.0,2012-06-19,2014-06-01,1.9510704236063579
TA,S54A,37.799702,-81.311401,636.0,2013-05-17,2015-04-28,1.9484388863538418
TA,O54A,40.182098,-80.3778,357.0,2012-12-14,2014-11-24,1.9458238269069892
TA,U57A,36.4319,-79.336403,178.0,2013-04-21,2015-03-31,1.9428663776713058
TA,M59A,41.541302,-75.432098,471.0,2013-06-12,2015-05-20,1.9379705681040382
TA,L49A,42.108799,-83.767197,230.0,2012-07-20,2014-06-26,1.9356345222703881
TA,S52A,37.6791,-83.0784,367.0,2012-05-16,2014-04-21,1.932475821988998
TA,P55A,39.507801,-79.8265,551.0,2012-12-14,2014-11-19,1.9320480644915963
SP,OLAR,33.326401,-81.131104,61.0,2002-07-26,2004-06-30,1.9300707278120008
TA,S51A,37.639198,-83.593498,286.0,2012-05-17,2014-04-21,1.929093150302938
TA,T52A,37.107601,-82.985199,436.0,2012-05-15,2014-04-18,1.927066697087231
TA,158A,32.736401,-80.193497,12.0,2013-02-24,2015-01-28,1.9268089461809517
TA,Q43A,38.941002,-89.699097,202.0,2011-05-24,2013-04-25,1.9239485892463306
TA,Y60A,34.004601,-78.216301,7.0,2013-02-27,2015-01-30,1.9237897368621188
7A,FOXP,38.627102,-79.245399,485.0,2014-11-22,2016-10-24,1.92236098435876
TA,Y57A,34.016998,-80.391502,56.0,2013-02-19,2015-01-21,1.9210595229041498
TA,O55A,40.2076,-79.3041,469.0,2012-12-15,2014-11-15,1.918320784850559
7A,ALMA,39.4048,-80.836403,233.0,2014-11-24,2016-10-24,1.916951827768905
TA,T49A,37.105,-85.533401,313.0,2012-05-21,2014-04-17,1.9072648110122443
N4,W59A,35.1673,-78.443,60.0,2017-04-20,2019-03-17,1.9055441478439425
TA,Z57A,33.297001,-80.703903,81.0,2013-02-20,2015-01-16,1.9050878393794204
TA,W52A,35.093498,-83.927696,519.0,2012-04-15,2014-03-11,1.9049069320860903
TA,R53A,38.3307,-81.952202,294.0,2013-01-13,2014-12-09,1.904495493953913
TA,T50A,37.020401,-84.838402,302.0,2012-05-23,2014-04-17,1.9027650074783886
TA,Q51A,39.026001,-83.345596,362.0,2012-06-26,2014-05-21,1.90213295687885
TA,T53A,36.9823,-82.535004,818.0,2013-01-18,2014-12-13,1.9018081222906684
TA,W57A,35.152901,-79.992798,85.0,2013-03-08,2015-01-30,1.8997114799604533
TA,N55A,40.7808,-78.986198,559.0,2012-12-12,2014-11-05,1.8991368164879459
TA,V61A,35.791199,-76.577599,4.0,2013-03-11,2015-02-02,1.8990908370725277
TA,154A,32.613098,-83.106598,111.0,2012-03-20,2014-02-10,1.8964671267777018
TA,O58A,40.1231,-76.922798,321.0,2013-06-15,2015-05-07,1.8939272948513195
TA,S53A,37.681499,-82.126404,564.0,2013-01-15,2014-12-07,1.8938322305878774
TA,157A,32.678001,-80.9972,21.0,2013-02-25,2015-01-15,1.8882804776028594
N4,Y59A,33.9897,-78.873703,2.0,2015-01-25,2016-12-13,1.8835115471391994
TA,W53A,35.169601,-83.163002,1180.0,2012-04-14,2014-03-02,1.8827192181914973
TA,T51A,36.9655,-83.945396,329.0,2012-05-31,2014-04-18,1.8825481025173016
TA,O49A,40.188,-84.335297,292.0,2012-06-21,2014-05-08,1.8807018594569929
TA,R49A,38.291599,-85.171402,251.0,2012-06-06,2014-04-23,1.8803986361447005
TA,T59A,36.9716,-77.5541,63.0,2013-03-20,2015-02-04,1.8800842903135853
TA,R56A,38.407101,-79.403099,902.0,2013-06-22,2015-05-09,1.879914822419956
TA,246A,32.014301,-89.128601,113.0,2011-03-26,2013-02-08,1.8772625294699217
TA,S50A,37.679001,-84.400299,300.0,2012-06-05,2014-04-20,1.8748288843258043
TA,Q58A,38.941299,-77.681999,182.0,2013-06-21,2015-05-06,1.8743440565822496
TA,U59A,36.3526,-77.792503,99.0,2013-03-21,2015-02-02,1.8717123292012068
TA,S55A,37.7724,-80.501297,647.0,2013-01-29,2014-12-12,1.8690109514031485
TA,N53A,40.806499,-80.8377,360.0,2012-12-11,2014-10-24,1.8689321748168428
TA,S49A,37.784901,-85.287498,230.0,2012-06-08,2014-04-20,1.8661400106471975
TA,X55A,34.4701,-81.633598,153.0,2013-02-06,2014-12-19,1.8660924785154764
TA,T54A,37.060799,-81.576202,852.0,2013-01-30,2014-12-11,1.8640866225568484
TA,Y54A,33.862099,-82.688004,176.0,2012-04-10,2014-02-18,1.8611586432428322
TA,Q54A,38.983601,-80.833801,254.0,2013-01-28,2014-12-08,1.8610396227850026
TA,N58A,40.8396,-76.715797,200.0,2013-07-04,2015-05-14,1.8607675488630313
TA,Q48A,38.929501,-85.731102,185.0,2012-06-23,2014-05-03,1.860692828351966
TA,153A,32.649899,-83.831596,160.0,2012-03-19,2014-01-26,1.8586394402616169
TA,Q49A,39.005001,-84.895599,264.0,2012-06-24,2014-05-03,1.8584302988820443
TA,Q44A,38.903198,-89.016998,164.0,2011-06-07,2013-04-15,1.8581165868126854
TA,W49A,35.1194,-86.264503,251.0,2012-04-18,2014-02-24,1.8558065252110427
TA,Z52A,33.189301,-84.417603,252.0,2012-04-11,2014-02-17,1.8557589930793217
TA,Y53A,33.8554,-83.583603,234.0,2012-04-12,2014-02-18,1.855274165335767
TA,P48A,39.460499,-85.425797,300.0,2012-06-25,2014-05-02,1.8531941275635664
